Jugador,Gols,Club,Nacionalitat,Minuts jugats,Aparicions,Minuts per gol
Frank Lampard,177,3 Clubs,England,48.898,609,276
Steven Gerrard,121, 1 Club,England,40.785,492,337
Paul Scholes,107, 1 Club,England,36.098,499,337
Ryan Giggs,99, 1 Club,Wales,42.965,591,434
Matt Le Tissier,86, 1 Club,England,17.235,226,200
Gary Speed,73,4 Clubs,Wales,42.806,496,586
Kevin De Bruyne,69,2 Clubs,Belgium,20.112,265,291
Kevin Nolan,69,3 Clubs,England,31.450,399,456
Gylfi Sigurdsson,67,3 Clubs,Iceland,23.177,318,346
Robert Pirès,62, 1 Club,France,13.956,189,225
David Beckham,62, 1 Club,England,21.371,261,345
Yaya Touré,60, 1 Club,Cote d'Ivoire,18.239,230,304
David Silva,60, 1 Club,Spain,23.981,309,400
Lee Bowyer,57,4 Clubs,England,30.255,381,531
Bruno Fernandes,56, 1 Club,Portugal,14.791,170,264
Tim Cahill,56, 1 Club,Australia,18.000,226,321
James Ward-Prowse,56,2 Clubs,England,26.590,365,475
James Milner,55,6 Clubs,England,39.628,629,721
Gustavo Poyet,54,2 Clubs,Uruguay,13.002,186,241
Christian Eriksen,54,3 Clubs,Denmark,22.460,287,416
Damien Duff,54,4 Clubs,Ireland,27.515,375,510
Gareth Barry,53,4 Clubs,England,50.381,601,951
Juan Mata,52,2 Clubs,Spain,18.656,271,359
Dele Alli,51, 1 Club,England,13.454,181,264
James Maddison,50,2 Clubs,England,15.381,202,308
Cesc Fàbregas,50,2 Clubs,Spain,26.220,344,524
Danny Murphy,50,4 Clubs,England,29.983,406,600
Nolberto Solano,49,3 Clubs,Peru,22.457,298,458
Freddie Ljungberg,48,2 Clubs,Sweden,16.249,223,339
Nick Barmby,48,6 Clubs,England,22.622,289,471
Philippe Coutinho,47,2 Clubs,Brazil,13.575,191,289
Mark Noble,47, 1 Club,England,31.003,388,660
Joe Cole,46,4 Clubs,England,19.745,327,429
Alan Smith,45,3 Clubs,England,19.510,265,434
İlkay Gündoğan,44, 1 Club,Germany,13.244,198,301
Gary McAllister,44,3 Clubs,Scotland,24.370,293,554
Leon Osman,44, 1 Club,England,25.818,341,587
Mikel Arteta,42,2 Clubs,Spain,22.898,275,545
Aaron Ramsey,40, 1 Club,Wales,16.707,262,418
Paul Merson,40,3 Clubs,England,19.810,247,495
Matthew Taylor,40,4 Clubs,England,20.594,304,515
Andrey Kanchelskis,39,3 Clubs,Russia,9.843,123,252
Bernardo Silva,39, 1 Club,Portugal,16.950,244,435
Steed Malbranque,39,3 Clubs,France,25.609,336,657
Patrik Berger,38,3 Clubs,Czech Republic,14.884,227,392
Robbie Earle,38, 1 Club,Jamaica,17.448,201,459
David Dunn,37,2 Clubs,England,15.873,240,429
Marouane Fellaini,37,2 Clubs,Belgium,18.415,257,498
Steve McManaman,37,2 Clubs,England,19.863,231,537
Stewart Downing,37,4 Clubs,England,32.364,403,875
Samir Nasri,36,3 Clubs,France,15.511,218,431
Paul Ince,36,4 Clubs,England,23.579,265,655
Ross Barkley,35,4 Clubs,England,17.194,255,491
Charlie Adam,34,3 Clubs,Scotland,12.835,196,378
Muzzy Izzet,34,2 Clubs,Türkiye,19.832,232,583
Morten Gamst Pedersen,34, 1 Club,Norway,20.639,259,607
Rob Lee,34, 1 Club,England,20.735,245,610
Tim Sherwood,34,3 Clubs,England,23.891,283,703
Mesut Özil,33, 1 Club,Germany,15.259,184,462
Adam Lallana,33,3 Clubs,England,16.969,273,514
Abdoulaye Doucouré,33,2 Clubs,Mali,20.075,245,608
Roy Keane,33, 1 Club,Ireland,26.879,321,815
Jordan Henderson,33,2 Clubs,England,32.218,430,976
Jamie Redknapp,32,2 Clubs,England,19.531,250,610
Darren Anderton,32,2 Clubs,England,19.957,248,624
Jermaine Jenas,32,3 Clubs,England,20.592,272,644
James Morrison,32,2 Clubs,Scotland,21.412,310,669
Martin Ødegaard,31, 1 Club,Norway,9.913,122,320
Craig Gardner,31,4 Clubs,England,16.053,236,518
Dennis Wise,31,2 Clubs,England,21.241,251,685
Patrick Vieira,31,2 Clubs,France,25.292,307,816
Don Hutchison,30,4 Clubs,Scotland,13.919,185,464
Øyvind Leonhardsen,30,4 Clubs,Norway,14.267,179,476
Pascal Groß,30, 1 Club,Germany,17.515,228,584
Cole Palmer,29,2 Clubs,England,3.843,57,133
Jesse Lingard,29,2 Clubs,England,9.208,164,318
Juninho Paulista,29, 1 Club,Brazil,9.946,125,343
Paul Pogba,29, 1 Club,France,12.227,154,422
Tomas Soucek,29, 1 Club,Czech Republic,13.870,169,478
Luís Boa Morte,29,3 Clubs,Portugal,18.635,271,643
Ian Taylor,29,2 Clubs,England,19.371,248,668
Nicky Butt,29,3 Clubs,England,28.658,391,988
Mason Mount,28,2 Clubs,England,10.302,143,368
Luka Milivojevic,28, 1 Club,Serbia,12.615,150,451
Eberechi Eze,27, 1 Club,England,8.686,121,322
Manuel Lanzini,27, 1 Club,Argentina,11.342,179,420
Jason Wilcox,27,2 Clubs,England,16.794,217,622
Georginio Wijnaldum,27,2 Clubs,Netherlands,17.180,217,636
Lee Hendrie,27, 1 Club,England,17.488,242,648
Simon Davies,27,3 Clubs,Wales,21.163,276,784
Yohan Cabaye,26,2 Clubs,France,13.693,175,527
Sebastian Larsson,26,2 Clubs,Sweden,20.881,279,803
Joey Barton,26,4 Clubs,England,22.282,267,857
Santi Cazorla,25, 1 Club,Spain,10.807,129,432
Stéphane Sessègnon,25,2 Clubs,Benin,12.696,164,508
Chris Brunt,25, 1 Club,Northern Ireland,21.218,269,849
Rafael van der Vaart,24, 1 Club,Netherlands,4.572,61,191
Jason Puncheon,24,3 Clubs,England,13.773,181,574
Steve Stone,24,3 Clubs,England,19.451,246,810
Scott Parker,24,6 Clubs,England,29.095,360,1212
Michael Carrick,24,3 Clubs,England,32.367,400,1349
John Barnes,23,2 Clubs,England,13.516,162,588
Youri Tielemans,23,2 Clubs,Belgium,14.865,194,646
Kieron Dyer,23,2 Clubs,England,16.088,218,699
Jonjo Shelvey,23,3 Clubs,England,19.168,267,833
James McArthur,23,2 Clubs,Scotland,22.496,301,978
Darren Fletcher,23,3 Clubs,Scotland,23.953,302,1041
Rory Delap,23,4 Clubs,Ireland,25.632,321,1114
Xherdan Shaqiri,22,2 Clubs,Switzerland,8.579,129,390
Rodri,22, 1 Club,Spain,13.981,172,636
Steven Pienaar,22,2 Clubs,South Africa,15.470,193,703
Jeffrey Schlupp,22,2 Clubs,Ghana,15.543,249,707
Oscar,21, 1 Club,Brazil,8.701,131,414
Alexis Mac Allister,21,2 Clubs,Argentina,8.728,122,416
Lee Sharpe,21,3 Clubs,England,9.294,125,443
Stephen Hunt,21,3 Clubs,Ireland,10.800,143,514
Jorginho,21,2 Clubs,Italy,12.895,181,614
Steve Sidwell,21,4 Clubs,England,13.213,183,629
Rúben Neves,21, 1 Club,Portugal,14.434,177,687
Matthew Etherington,21,3 Clubs,England,17.030,224,811
Paul Scharner,21,2 Clubs,Austria,17.181,221,818
Youri Djorkaeff,20, 1 Club,France,6.101,75,305
Ji-sung Park,20,2 Clubs,"Korea, South",9.448,153,472
Niko Kranjcar,20,3 Clubs,Croatia,9.511,150,476
Alex Oxlade-Chamberlain,20,2 Clubs,England,10.468,230,523
Joelinton,20, 1 Club,Brazil,12.118,167,606
Claus Jensen,20,2 Clubs,Denmark,12.551,157,628
Douglas Luiz,20, 1 Club,Brazil,14.055,175,703
Marc Albrighton,20,2 Clubs,England,18.619,298,931
Fernandinho,20, 1 Club,Brazil,20.176,264,1009
Robbie Savage,20,4 Clubs,Wales,24.390,290,1220
Tomas Rosicky,19, 1 Club,Czech Republic,9.927,170,522
Scott McTominay,19, 1 Club,Scotland,10.195,161,537
Stephen Ireland,19,3 Clubs,Ireland,14.551,229,766
Keith Gillespie,19,4 Clubs,Northern Ireland,15.623,227,822
Garry Flitcroft,19,2 Clubs,England,18.042,220,950
Ray Parlour,19, 1 Club,England,19.507,260,1027
Antoine Sibierski,18,3 Clubs,France,8.178,148,454
Dan Gosling,18,4 Clubs,England,10.064,176,559
Conor Gallagher,18,3 Clubs,England,10.135,136,563
Alf-Inge Haaland,18,3 Clubs,Norway,12.190,151,677
Mohamed Diamé,18,4 Clubs,Senegal,15.110,207,839
Dejan Kulusevski,17, 1 Club,Sweden,6.972,95,410
Michael Ballack,17, 1 Club,Germany,7.829,105,461
Eyal Berkovic,17,4 Clubs,Israel,10.788,142,635
Gilberto Silva,17, 1 Club,Brazil,13.682,170,805
David Bentley,17,4 Clubs,England,14.045,181,826
Granit Xhaka,17, 1 Club,Switzerland,18.709,225,1101
Declan Rice,17,2 Clubs,England,19.749,224,1162
Steven Davis,17,3 Clubs,Northern Ireland,22.467,306,1322
